iter	Logloss
429	0.3900051691
430	0.3899466858
431	0.3899217159
432	0.3898762048
433	0.3898363032
434	0.389773991
435	0.3896904122
436	0.3896324529
437	0.3896007288
438	0.3895415126
439	0.3895019922
440	0.3894647185
441	0.3894167865
442	0.3893650889
443	0.3892995374
444	0.3892405091
445	0.3891880692
446	0.3891428045
447	0.3891063549
448	0.3890672134
449	0.3890003054
450	0.3889695423
451	0.3889504739
452	0.3889160156
453	0.3888532092
454	0.3887962183
455	0.3887592434
456	0.3886851892
457	0.3886304104
458	0.3885956806
459	0.3885095414
460	0.3884791261
461	0.3884318877
462	0.3883489755
463	0.3882897612
464	0.3882446979
465	0.3881883705
466	0.3881599698
467	0.388116573
468	0.3880764822
469	0.3880442383
470	0.3879864744
471	0.387933987
472	0.3878936579
473	0.3878198372
474	0.3877707778
475	0.387705162
476	0.3876491082
477	0.3875916691
478	0.3875121318
479	0.3874840866
480	0.3874279084
481	0.387380347
482	0.3873341506
483	0.3873003406
484	0.3872487679
485	0.3872196022
486	0.3871645171
487	0.3870802781
488	0.3870193412
489	0.386971059
490	0.3869225913
491	0.3868478111
492	0.3867904086
493	0.3867556866
494	0.3867100013
495	0.3866699925
496	0.3865843099
497	0.3865374951
498	0.3865051501
499	0.3864492651
