iter	Logloss
0	0.6868810046
1	0.6799907883
2	0.6732872072
3	0.6668163057
4	0.6606754045
5	0.6551022065
6	0.6492681044
7	0.6436608217
8	0.6376621084
9	0.6330311481
10	0.6276641483
11	0.6224384821
12	0.6175216949
13	0.6127368395
14	0.607832625
15	0.6034315389
16	0.5987228678
17	0.5941443446
18	0.5897659982
19	0.5853381686
20	0.58098529
21	0.576633986
22	0.572657196
23	0.5689592246
24	0.5655106099
25	0.5624772086
26	0.5591293392
27	0.5558481497
28	0.5526247658
29	0.5497542771
30	0.5465565976
31	0.5434518905
32	0.5403608501
33	0.537650919
34	0.53521599
35	0.5323109317
36	0.52951208
37	0.527095065
38	0.5247041291
39	0.5220591331
40	0.5196181009
41	0.5170737723
42	0.5149016411
43	0.5128389023
44	0.5107281121
45	0.5085309714
46	0.5064878853
47	0.5046829552
48	0.502816651
49	0.500725498
50	0.4986888384
51	0.4968360142
52	0.4955817928
53	0.4938419186
54	0.4920306183
55	0.4903315601
56	0.4885807437
57	0.4871243869
58	0.48537341
59	0.4837916602
60	0.4823800982
61	0.4810213071
62	0.4796429579
63	0.4782297484
64	0.4767867
65	0.4754664772
66	0.4742559251
67	0.4730291246
68	0.4716147875
69	0.4702112552
70	0.468991704
71	0.4678422072
72	0.4667689477
73	0.4655841088
74	0.4643841941
75	0.4633590816
76	0.4623711062
77	0.4613441488
78	0.4602613597
79	0.459358583
80	0.4583048353
81	0.4574957527
82	0.4565679709
83	0.4557513615
84	0.4547458179
85	0.4536638865
86	0.4528495155
87	0.4521224166
88	0.4513756903
89	0.4506093214
90	0.4497017214
91	0.4488957759
92	0.4481994526
93	0.4473311042
94	0.4466526225
95	0.4460266243
96	0.4453606496
97	0.4445489998
98	0.4438993258
99	0.4432076283
100	0.4425696051
101	0.4418174587
102	0.4410141385
103	0.4405104159
104	0.4398558019
105	0.4392691851
106	0.4387424876
107	0.4381376734
108	0.4376249431
109	0.4370407915
110	0.4365235017
111	0.4360924194
112	0.4356251358
113	0.4350578505
114	0.4345171549
115	0.4339632649
116	0.4335858263
117	0.4330904851
118	0.432573937
119	0.4320892093
120	0.4316567034
121	0.4312542079
122	0.4308654647
123	0.4304341959
124	0.4299948943
125	0.4296683763
126	0.4291700397
127	0.4287720398
128	0.4283444578
129	0.4279701877
130	0.427624111
131	0.4272637899
132	0.4269352751
133	0.4266244681
134	0.4261917671
135	0.4257883065
136	0.4254014538
137	0.4250733754
138	0.4247215019
139	0.4243828286
140	0.4240343536
141	0.4237004374
142	0.4234255158
143	0.4231087523
144	0.4227911331
145	0.4225253515
146	0.4222540259
147	0.421941564
148	0.4216302539
149	0.4213464624
150	0.4210241163
151	0.4207463423
152	0.4204062022
153	0.4200868807
154	0.4198342199
155	0.4195671786
156	0.4193187646
157	0.4190645129
158	0.418718121
159	0.4184850566
160	0.4181912809
161	0.4179445724
162	0.4176847726
163	0.4174098262
164	0.4171416909
165	0.4169567448
166	0.4167048997
167	0.4164266095
168	0.416202334
169	0.4159652017
170	0.4157305649
171	0.4154658979
172	0.4152221361
173	0.4149678292
174	0.4147425341
175	0.4145403089
176	0.4142882939
177	0.4140687804
178	0.4138211253
179	0.4136496039
180	0.4134641683
181	0.4132460512
182	0.4130377545
183	0.4128258895
184	0.4126351194
185	0.4124414791
186	0.4122479742
187	0.4120613201
188	0.4119182767
189	0.411763402
190	0.4116077236
191	0.411445429
192	0.4112341665
193	0.411058519
194	0.410893471
195	0.4107007925
196	0.4105306046
197	0.4103735942
198	0.4102514779
199	0.4100355701
200	0.4098384697
201	0.409709959
202	0.4095599051
203	0.4094527729
204	0.4093245522
205	0.4091614403
206	0.4089685194
207	0.4087831853
208	0.408575745
209	0.4084507392
210	0.4082481288
211	0.4081486523
212	0.4079135527
213	0.4077906436
214	0.4076904518
215	0.4075032118
216	0.4073548677
217	0.4071978114
218	0.4070592299
219	0.4069163835
220	0.4067832507
221	0.4066902686
222	0.4065469255
223	0.4064047547
224	0.4062928165
225	0.4061836291
226	0.4060320953
227	0.4059066699
228	0.4057679449
229	0.4056643285
230	0.4055067259
231	0.405376169
232	0.4052711274
233	0.4051601796
234	0.4050158697
235	0.404925986
236	0.4047967866
237	0.4046313512
238	0.4045027493
239	0.4044121286
240	0.4043011834
241	0.4042107098
242	0.404093262
243	0.4039412608
244	0.403844951
245	0.4037080544
246	0.4035959094
247	0.4035159488
248	0.4034263459
249	0.4033595068
250	0.4032735708
251	0.4031717787
252	0.4030557521
253	0.4029518806
254	0.402859268
255	0.4027427796
256	0.4026295862
257	0.402517498
258	0.4023770096
259	0.4022474494
260	0.4021499092
261	0.4020820879
262	0.4019497196
263	0.4018685791
264	0.4017716944
265	0.4016778472
266	0.401607161
267	0.4015155169
268	0.4013922247
269	0.4012750699
270	0.4011658691
271	0.401083339
272	0.4009792807
273	0.4008917904
274	0.4008100742
275	0.400698102
276	0.4005862834
277	0.4004845184
278	0.4003887969
279	0.4002949021
280	0.4002069307
281	0.4001225436
282	0.4000290078
283	0.3999430905
284	0.3998437517
285	0.3997365794
286	0.3996398216
287	0.3995392871
288	0.3994953761
289	0.3994071445
290	0.399337024
291	0.3992509762
292	0.3991491895
293	0.3990662936
294	0.398994108
295	0.3988818317
296	0.398801494
297	0.3987300936
298	0.3986656433
299	0.3985524837
300	0.3984563961
301	0.3983840091
302	0.3982812929
303	0.3982052072
304	0.398140972
305	0.3980544242
306	0.3979461375
307	0.3978559414
308	0.3977609922
309	0.397685862
310	0.3976004067
311	0.3974924647
312	0.3973919922
313	0.3973512216
314	0.3972764853
315	0.397181158
316	0.3971181213
317	0.3970518026
318	0.3969811985
319	0.3969030421
320	0.3968209135
321	0.3967289891
322	0.3966491011
323	0.396542861
324	0.3964950621
325	0.3964129059
326	0.3963232169
327	0.3962613999
328	0.3961834971
329	0.3961609784
330	0.3961066062
331	0.3960505949
332	0.3959836585
333	0.3959104026
334	0.3958459669
335	0.3957817212
336	0.3956990197
337	0.3956455259
338	0.3955637829
339	0.3954885162
340	0.3954300918
341	0.3953653235
342	0.395317466
343	0.3952847678
344	0.3951881094
345	0.3951181408
346	0.395076958
347	0.3950097368
348	0.3949607514
349	0.3948712151
350	0.3948133464
351	0.3947125677
352	0.3946571011
353	0.3945970249
354	0.3945254665
355	0.3944599392
356	0.394425469
357	0.3943684768
358	0.3942931671
359	0.3942401816
360	0.3941654823
361	0.3941088306
362	0.394029656
363	0.3939956204
364	0.3939516989
365	0.3939120907
366	0.3938405606
367	0.3937844354
368	0.3937173733
369	0.39363529
370	0.3935858327
371	0.3935430104
372	0.3934738393
373	0.3934231894
374	0.3933540467
375	0.3932758993
376	0.3932062384
377	0.3931588887
378	0.3930696194
379	0.393017275
380	0.3929236694
381	0.3928518423
382	0.3928153071
383	0.392742555
384	0.3926660301
385	0.3925983801
386	0.3925435619
387	0.3924631636
388	0.39241413
389	0.3923766483
390	0.3922989937
391	0.3922305938
392	0.3921721187
393	0.3921103946
394	0.3920372739
395	0.3919773175
396	0.3919279471
397	0.3918636722
398	0.3918217226
399	0.391759572
400	0.3916941788
401	0.3916590187
402	0.3916035756
403	0.3915331392
404	0.3914933842
405	0.3914274578
406	0.3913669561
407	0.3912901845
408	0.3912552231
409	0.39120157
410	0.3911348516
411	0.3910605179
412	0.3909746526
413	0.3909035669
414	0.3908447005
415	0.3907711111
416	0.3907124291
417	0.3906565546
418	0.3906100936
419	0.3905535328
420	0.3905126872
421	0.3904431515
422	0.3904022533
423	0.3903494243
424	0.3902788401
425	0.390214786
426	0.3901684852
427	0.390115039
428	0.3900511975
